# entities
# W3C table at http://www.whatwg.org/specs/web-apps/current-work/multipage/named-character-references.html#named-character-references
# l=lower case Latin L=upper case Latin (alpha accents) g=lower case Greek G=upper case Greek c Cyrillic lower case C Cyrillic Upper case.
# a=arrow b=blank d=diacritical mark m=music s=symbol 4=html4 5=html5 p=proposed n=not an entity X=XHTML o=ordinary char, does not need entity.
# $=currency
# desc has no entities whereas notesdoes.
# normally sorted by entity, hex, desc, categories
## categories, hex, overstrike, alpha entity,              description,                                                                 notes
o4,    0x20,    ,       ,                                  "ordinary space",                                                            "&rarr; &larr;"
5,     0x2a53,  ,       &And;,                             "double logical and"
5,     0x104,   ,       &Aogon;,                           "Latin capital letter A ogonek"
5,     0x1d538, ,       &Aopf;,                            "double struck capital A"
5,     0x2061,  ,       &ApplyFunction;,                   "function application"
4XL,   0xc5,    ,       &Aring;,                           "Latin capital letter A with ring above"
5,     0x1d49c, ,       &Ascr;,                            "Script capital letter A"
5,     0x2254,  ,       &Assign;,                          "colon equals, Algol assign, :=",                                            "Like Algol assignment operator"
4XL,   0xc3,    ,       &Atilde;,                          "Latin capital letter A with tilde"
4XL,   0xc4,    ,       &Auml;,                            "Latin capital letter A with diaeresis",                                     "umlaut, with raised two dots"
5,     0x2216,  ,       &Backslash;,                       "\",                                                                         "similar to \"
5,     0x2ae7,  ,       &Barv;,                            "short down tack with overbar"
5,     0x2306,  ,       &Barwed;,                          "perspective"
5C,    0x411,   ,       &Bcy;,                             "Cyrillic capital letter BE"
5,     0x2235,  ,       &Because;,                         "because, three dots, like upside down therefore",                           "because"
5,     0x212c,  ,       &Bernoullis;,                      "script capital b"
4XG,   0x392,   ,       &Beta;,                            "Greek capital letter Beta"
5,     0x1d505, ,       &Bfr;,                             "Fraktur B"
5,     0x1d539, ,       &Bopf;,                            "double struck capital B"
5d,    0x2d8,   ,       &Breve;,                           "breve accent by itself"
5,     0x212c,  ,       &Bscr;,                            "Script capital letter B"
5,     0x224e,  ,       &Bumpeq;,                          "geometrically equivalent to"
5C,    0x427,   ,       &CHcy;,                            "Cyrillic capital letter CHE"
5,     0xa9,    ,       &COPY;,                            "copyright sign circled c",                                                  "normally use html4 <span class=""entity"">&amp;copy;</span>"
5,     0x106,   ,       &Cacute;,                          "Latin capital letter C with acute"
5,     0x22d2,  ,       &Cap;,                             "double intersection"
